resonant_frequency(GHZ),BW(GHZ)
19.0,3.0
24.0,5.5
14.5,1.5
9.5,1.0
9.5,4.5
4.25,2.25
19.0,4.0
7.0,3.0
16.0,2.0
8.0,0.5
12.0,1.0
8.5,2.5
7.5,3.0
4.5,1.5
29.5,5.0
2.5,0.5
28.5,5.0
17.0,3.5
3.5,1.5
13.0,0.5
13.0,3.0
12.0,0.5
22.0,4.5
6.0,2.5
25.6667,6.0
7.5,2.0
8.5,1.0
18.5,2.0
6.5,1.5
7.5,2.0
7.0,2.5
6.0,3.25
6.25,2.5
6.75,2.75
27.0,5.5
6.5,2.5
5.0,1.0
5.75,2.5
4.5,1.75
14.0,2.0
15.0,2.0
11.5,5.5
14.5,2.0
12.5,5.5
12.0,2.0
12.0,1.5
17.5,3.0
4.125,0.875
9.0,0.5
9.0,2.0
3.5,1.25
7.0,1.0
6.0,2.75
15.5,1.5
10.0,5.5
14.0,3.0
6.5,1.5
12.0,5.5
6.0,1.5
23.0,3.5
6.5,3.25
12.5,5.0
21.0,3.5
14.5,1.5
9.25,3.75
4.0,1.0
8.5,1.5
16.0,2.0
4.0,0.875
10.0,1.0
20.0,4.5
5.5,2.25
16.5,2.5
12.5,0.5
13.0,9.0
7.5,1.5
9.0,4.5
4.0,0.5
13.0,2.0
8.75,4.25
2.75,0.75
17.0,2.0
8.0,3.5
11.0,1.0
10.5,0.5
12.0,2.0
22.3333,5.0
23.5,4.5
5.0,1.75
6.75,4.25
7.5,1.0
12.5,1.0
15.0,6.5
10.0,0.5
6.75,4.0
19.5,3.5
12.0,2.5
14.5,3.0
19.5,1.5
11.0,2.0
5.5,2.5
13.5,1.5
18.5,3.0
30.5,6.0
7.5,4.75
14.0,6.5
4.75,2.25
17.5,2.5
16.75,10.25
24.5,3.5
23.5,5.0
11.0,0.5
10.5,0.5
5.5,2.5
23.0,4.5
11.75,6.75
7.0,3.5
7.5,3.0
24.5,4.5
3.75,1.5
16.0,2.0
8.0,4.25
8.5,5.0
12.5,1.0
11.0,2.5
11.0,1.5
9.0,0.5
10.5,1.0
9.5,3.5
6.5,2.5
19.0,3.0
5.25,2.75
5.5,3.0
17.5,2.5
16.0,2.5
9.5,2.5
13.5,1.5
25.5,3.5
26.0,6.5
22.5,4.5
27.5,5.0
10.0,4.5
8.0,2.5
9.0,4.0
5.0,1.5
26.0,5.0
9.5,4.5
6.0,2.0
7.5,3.75
8.0,3.5
13.5,7.0
5.0,2.0
11.0,2.0
12.0,1.5
10.5,1.5
7.5,1.5
12.0,2.5
20.5,5.0
9.0,1.5
28.0,6.0
4.5,1.0
6.0,2.5
6.5,2.5
8.5,4.0
5.0,2.75
10.0,1.0
13.0,4.0
4.0,1.75
19.5,4.5
7.5,3.0
18.5,2.5
10.0,1.0
3.0,1.0
9.0,3.5
5.75,3.25
16.0,2.0
4.75,2.5
5.25,2.0
8.5,3.5
17.0,2.5
8.0,1.0
9.0,4.0
14.0,7.0
13.5,2.5
2.75,0.75
6.25,2.75
8.5,1.5
11.0,0.5
6.0,1.5
16.0,2.5
24.0,3.5
4.5,1.5
4.5,1.0
20.5,4.5
4.75,1.5
10.5,0.5
10.0,1.0
9.0,1.0
9.5,2.5
14.5,1.0
16.5,2.5
3.5,0.5
12.25,8.0
11.5,2.0
5.25,1.5
9.5,3.5
7.5,3.25
11.0,0.5
6.5,1.5
29.5,6.0
13.0,1.0
18.0,2.0
6.25,3.75
12.5,2.0
9.0,1.0
12.5,0.5
22.5,3.5
11.5,3.0
12.5,2.0
4.0,0.5
8.5,3.75
13.0,1.0
6.0,2.0
8.0,3.0
5.75,2.0
7.5,2.5
15.5,2.0
21.0,5.0
11.0,4.5
3.25,1.25
5.0,1.5
8.5,1.0
7.5,3.5
4.5,1.5
7.0,1.0
15.0,1.5
17.0,3.0
7.0,2.5
7.0,2.0
9.5,0.5
25.0,4.5
3.0,0.5
22.0,3.0
18.0,2.5
3.25,1.25
7.0,3.0
10.0,4.0
20.0,3.5
5.5,2.0
13.0,0.5
4.5,1.0
13.0,2.5
19.0,4.0
27.5,4.5
11.0,0.5
6.5,0.5
12.5,0.5
10.5,3.0
11.0,4.0
4.0,1.0
26.0,4.5
9.5,1.5
6.0,3.5
3.5,1.0
12.5,1.0
13.5,2.5
5.5,2.0
8.5,1.0
20.5,3.0
21.5,3.5
16.5,2.0
4.0,1.0
9.0,4.5
12.5,5.0
13.5,1.5
25.0,5.6667
3.5,1.0
9.5,0.5
12.0,1.0
7.25,3.5
8.5,0.5
4.25,1.0
8.0,0.5
7.25,4.5
6.0,2.0
8.0,2.0
